station,x,y
Alkmaar,52.63777924,4.739722252
Beverwijk,52.47833252,4.656666756
Castricum,52.54583359,4.658611298
Hoorn,52.64472198,5.055555344
Zaandam,52.43888855,4.813611031
Den Helder,52.95527649,4.761111259
